competition_id,competition_name,competition_country_name,season_id,season_name,match_id,match_date,kick_off,stadium,id,period,minute,second,timestamp,timezone,datetime,goal_datetime
11,La Liga,Spain,39,2006/2007,68336,2007-06-17,21:00:00.000,Nou Estadi Costa Daurada,59536a49-ca2d-4709-b236-904de5c2eda6,2,50,6,00:05:06.926,Europe/Madrid,2007-06-17 19:00:00+00:00,2007-06-17 20:05:06+00:00
11,La Liga,Spain,40,2007/2008,69148,2007-09-22,22:00:00.000,Spotify Camp Nou,e008eab2-b136-4f8b-ae0a-45e9e91dfe5d,2,73,6,00:28:06.448,Europe/Madrid,2007-09-22 20:00:00+00:00,2007-09-22 21:28:06+00:00
11,La Liga,Spain,40,2007/2008,69148,2007-09-22,22:00:00.000,Spotify Camp Nou,1845a772-a010-471c-a8bf-4b99dc32c89c,2,79,43,00:34:43.484,Europe/Madrid,2007-09-22 20:00:00+00:00,2007-09-22 21:34:43+00:00
11,La Liga,Spain,40,2007/2008,69143,2007-09-26,22:00:00.000,Spotify Camp Nou,85fd41a8-d1a4-4b64-8812-f54774152225,1,4,44,00:04:44.730,Europe/Madrid,2007-09-26 20:00:00+00:00,2007-09-26 20:04:44+00:00
11,La Liga,Spain,40,2007/2008,69143,2007-09-26,22:00:00.000,Spotify Camp Nou,4ec51315-a4d6-442c-8e27-f25799821a66,1,10,26,00:10:26.872,Europe/Madrid,2007-09-26 20:00:00+00:00,2007-09-26 20:10:26+00:00
11,La Liga,Spain,40,2007/2008,69151,2007-09-29,22:00:00.000,Estadio Ciudad de Valencia,10920802-259a-4ec9-8837-5afa3567aad9,2,50,15,00:05:15.430,Europe/Madrid,2007-09-29 20:00:00+00:00,2007-09-29 21:05:15+00:00
11,La Liga,Spain,40,2007/2008,69144,2007-10-07,17:00:00.000,Spotify Camp Nou,59996a83-b2f8-4b1b-b482-5180422c9693,1,19,42,00:19:42.002,Europe/Madrid,2007-10-07 15:00:00+00:00,2007-10-07 15:19:42+00:00
11,La Liga,Spain,40,2007/2008,69158,2007-10-28,19:00:00.000,Spotify Camp Nou,4ce22ffa-23c6-40a5-b700-4909ae846bc7,2,80,28,00:35:28.600,Europe/Madrid,2007-10-28 18:00:00+00:00,2007-10-28 19:35:28+00:00
11,La Liga,Spain,40,2007/2008,69184,2007-11-24,20:00:00.000,Spotify Camp Nou,1eb93fb6-e979-4768-92b4-c42e1ab33fe0,2,81,0,00:36:00.176,Europe/Madrid,2007-11-24 19:00:00+00:00,2007-11-24 20:36:00+00:00
11,La Liga,Spain,40,2007/2008,68360,2008-02-24,19:00:00.000,Spotify Camp Nou,326320a7-e3da-42b8-83b6-9532e03ea5a4,1,44,2,00:44:02.011,Europe/Madrid,2008-02-24 18:00:00+00:00,2008-02-24 18:44:02+00:00
11,La Liga,Spain,40,2007/2008,69141,2008-05-04,19:00:00.000,Spotify Camp Nou,c47b7e56-5271-437d-9445-e1f356d53c86,1,5,2,00:05:02.928,Europe/Madrid,2008-05-04 17:00:00+00:00,2008-05-04 17:05:02+00:00
11,La Liga,Spain,41,2008/2009,69215,2008-09-13,20:00:00.000,Spotify Camp Nou,00811f27-5607-4989-9cb1-30e46592b494,2,70,36,00:25:36.042,Europe/Madrid,2008-09-13 18:00:00+00:00,2008-09-13 19:25:36+00:00
11,La Liga,Spain,41,2008/2009,69138,2008-09-21,21:00:00.000,Estadio Municipal El Molinón,5b2c0dd9-89b5-4143-b0d1-df52a14b3f7d,2,84,55,00:39:55.210,Europe/Madrid,2008-09-21 19:00:00+00:00,2008-09-21 20:39:55+00:00
11,La Liga,Spain,41,2008/2009,69138,2008-09-21,21:00:00.000,Estadio Municipal El Molinón,292c2922-755d-4cdc-be96-bae6dfe2842a,2,89,6,00:44:06.916,Europe/Madrid,2008-09-21 19:00:00+00:00,2008-09-21 20:44:06+00:00
11,La Liga,Spain,41,2008/2009,69211,2008-09-27,22:00:00.000,Estadi Olímpic Lluís Companys,dcd133bc-7801-4f61-bd00-f67179c76b10,2,98,6,00:53:06.434,Europe/Madrid,2008-09-27 20:00:00+00:00,2008-09-27 21:53:06+00:00
11,La Liga,Spain,41,2008/2009,69212,2008-10-04,22:00:00.000,Spotify Camp Nou,f70be1b4-e2b4-4c08-ae61-af1a88037071,1,8,3,00:08:03.693,Europe/Madrid,2008-10-04 20:00:00+00:00,2008-10-04 20:08:03+00:00
11,La Liga,Spain,41,2008/2009,69235,2008-11-01,20:00:00.000,Estadio La Rosaleda,3a09f54e-977f-496a-8cdf-27a76d575924,1,18,31,00:18:31.005,Europe/Madrid,2008-11-01 19:00:00+00:00,2008-11-01 19:18:31+00:00
11,La Liga,Spain,41,2008/2009,69285,2008-11-16,21:00:00.000,Estadio Nuevo Colombino,b147c8bf-afbd-4f3e-8f2d-595938e759c5,2,50,59,00:05:59.624,Europe/Madrid,2008-11-16 20:00:00+00:00,2008-11-16 21:05:59+00:00
11,La Liga,Spain,41,2008/2009,69171,2008-11-29,22:00:00.000,Estadio Ramón Sánchez Pizjuán,0f0e638f-799e-4287-bc72-60bbb4789946,2,77,59,00:32:59.730,Europe/Madrid,2008-11-29 21:00:00+00:00,2008-11-29 22:32:59+00:00
11,La Liga,Spain,41,2008/2009,69171,2008-11-29,22:00:00.000,Estadio Ramón Sánchez Pizjuán,79acef12-694e-437a-b51c-b54354858bc5,2,91,58,00:46:58.761,Europe/Madrid,2008-11-29 21:00:00+00:00,2008-11-29 22:46:58+00:00
11,La Liga,Spain,41,2008/2009,69225,2008-12-13,22:00:00.000,Spotify Camp Nou,89be0308-3b31-481d-8af5-ac7bd324a863,2,91,2,00:46:02.996,Europe/Madrid,2008-12-13 21:00:00+00:00,2008-12-13 22:46:02+00:00
11,La Liga,Spain,41,2008/2009,69230,2009-01-11,21:00:00.000,Estadio El Sadar,063f24cc-70fd-4f18-b8e5-a4e6aef21184,2,84,30,00:39:30.153,Europe/Madrid,2009-01-11 20:00:00+00:00,2009-01-11 21:39:30+00:00
11,La Liga,Spain,41,2008/2009,69183,2009-01-17,20:00:00.000,Spotify Camp Nou,4dc66af2-f36c-44a1-afa1-1bb823145987,1,20,42,00:20:42.659,Europe/Madrid,2009-01-17 19:00:00+00:00,2009-01-17 19:20:42+00:00
11,La Liga,Spain,41,2008/2009,69189,2009-01-24,22:00:00.000,Spotify Camp Nou,630832e0-7961-463b-8b3a-58e6b6e63e4d,2,48,51,00:03:51.041,Europe/Madrid,2009-01-24 21:00:00+00:00,2009-01-24 22:03:51+00:00
11,La Liga,Spain,41,2008/2009,69189,2009-01-24,22:00:00.000,Spotify Camp Nou,8f2a7c0b-27c6-4f97-8738-2f64624b62ba,2,75,11,00:30:11.683,Europe/Madrid,2009-01-24 21:00:00+00:00,2009-01-24 22:30:11+00:00
11,La Liga,Spain,41,2008/2009,69209,2009-02-01,17:00:00.000,Campos de Sport de El Sardinero,3b4181b1-5b30-408b-959d-be2d89b8db56,2,64,22,00:19:22.985,Europe/Madrid,2009-02-01 16:00:00+00:00,2009-02-01 17:19:22+00:00
11,La Liga,Spain,41,2008/2009,69209,2009-02-01,17:00:00.000,Campos de Sport de El Sardinero,5f5fe175-c43e-4239-a7a2-51ced85379da,2,80,1,00:35:01.840,Europe/Madrid,2009-02-01 16:00:00+00:00,2009-02-01 17:35:01+00:00
11,La Liga,Spain,41,2008/2009,69185,2009-03-01,19:00:00.000,Estadio Vicente Calderón,d6e58ae9-a5a9-418d-bd4d-331124a3401b,1,30,1,00:30:01.508,Europe/Madrid,2009-03-01 18:00:00+00:00,2009-03-01 18:30:01+00:00
11,La Liga,Spain,41,2008/2009,69216,2009-03-07,20:00:00.000,Spotify Camp Nou,31ce3d01-5a21-446a-855e-9defd35021cc,1,31,2,00:31:02.325,Europe/Madrid,2009-03-07 19:00:00+00:00,2009-03-07 19:31:02+00:00
11,La Liga,Spain,41,2008/2009,69142,2009-03-22,19:00:00.000,Spotify Camp Nou,ea5e6aff-25e7-483c-8361-726c4c41d29c,1,24,8,00:24:08.887,Europe/Madrid,2009-03-22 18:00:00+00:00,2009-03-22 18:24:08+00:00
11,La Liga,Spain,41,2008/2009,69223,2009-04-18,20:00:00.000,Coliseum Alfonso Pérez,b6543ebb-a4a4-46f7-9af1-23e9690bb41c,1,18,38,00:18:38.064,Europe/Madrid,2009-04-18 18:00:00+00:00,2009-04-18 18:18:38+00:00
11,La Liga,Spain,41,2008/2009,69251,2009-04-25,22:00:00.000,Estadio de Mestalla,c303a280-18ce-44c1-827a-aec1dfeabda7,1,23,14,00:23:14.665,Europe/Madrid,2009-04-25 20:00:00+00:00,2009-04-25 20:23:14+00:00
11,La Liga,Spain,41,2008/2009,69249,2009-05-02,20:00:00.000,Estadio Santiago Bernabéu,66ce66da-aa1e-43a9-a0ca-74d7303d858e,1,35,0,00:35:00.909,Europe/Madrid,2009-05-02 18:00:00+00:00,2009-05-02 18:35:00+00:00
